version:v1.0
Nombreparamostrar [displayName] Obligatorio,Nombre de usuario [userPrincipalName] Obligatorio,Contraseña inicial [passwordProfile] Obligatorio,Bloquear inicio de sesión (Sí/No) [accountEnabled] Obligatorio,Nombre [givenName],Apellidos [surname],Puesto [jobTitle],Departamento [department],Ubicacion de uso [usageLocation],Calle [streetAddress],Estado o provincia [state],Pais o region [country],Codigo postal [postalCode],Ciudad [city]
Sergio Vazquez,sergio.vazquez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sergio,Vazquez,Network Engineer,it-sistemas,ES,Calle Gran Via 13,Madrid,España,28013,Madrid
Paula Castro,paula.castro@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Paula,Castro,Accountant,finanzas,ES,Calle Gran Via 14,Madrid,España,28013,Madrid
Marcos Romero,marcos.romero@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Marcos,Romero,SEO Manager,marketing,ES,Calle Gran Via 15,Madrid,España,28013,Madrid
Raquel Navarro,raquel.navarro@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Raquel,Navarro,Payroll Specialist,recursos-humanos,ES,Calle Gran Via 16,Madrid,España,28013,Madrid
Adrian Murillo,adrian.murillo@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Adrian,Murillo,Chief of Staff,directivos,ES,Calle Gran Via 17,Madrid,España,28013,Madrid
Beatriz Mendez,beatriz.mendez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Beatriz,Mendez,Executive Assistant,shared,ES,Calle Gran Via 18,Madrid,España,28013,Madrid
Hugo Blanco,hugo.blanco@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Hugo,Blanco,Systems Architect,it-sistemas,ES,Calle Gran Via 19,Madrid,España,28013,Madrid
Sara Delgado,sara.delgado@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sara,Delgado,Compliance Officer,finanzas,ES,Calle Gran Via 20,Madrid,España,28013,Madrid
Alberto Jimenez,alberto.jimenez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Alberto,Jimenez,Content Manager,marketing,ES,Calle Gran Via 21,Madrid,España,28013,Madrid
Natalia Herrera,natalia.herrera@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Natalia,Herrera,Recruiter,recursos-humanos,ES,Calle Gran Via 22,Madrid,España,28013,Madrid
Ruben Ortiz,ruben.ortiz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ruben,Ortiz,COO,directivos,ES,Calle Gran Via 23,Madrid,España,28013,Madrid
Patricia Molina,patricia.molina@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Patricia,Molina,Receptionist,shared,ES,Calle Gran Via 24,Madrid,España,28013,Madrid
Fernando Vidal,fernando.vidal@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Fernando,Vidal,SysAdmin,it-sistemas,ES,Calle Gran Via 25,Madrid,España,28013,Madrid
Irene Santos,irene.santos@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Irene,Santos,Tax Specialist,finanzas,ES,Calle Gran Via 1,Madrid,España,28013,Madrid
Oscar Ramos,oscar.ramos@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Oscar,Ramos,Campaign Manager,marketing,ES,Calle Gran Via 2,Madrid,España,28013,Madrid
Claudia Gil,claudia.gil@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Claudia,Gil,Compensation Analyst,recursos-humanos,ES,Calle Gran Via 3,Madrid,España,28013,Madrid
Daniel Leon,daniel.leon@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Daniel,Leon,VP Finance,directivos,ES,Calle Gran Via 4,Madrid,España,28013,Madrid
Andrea Ortega,andrea.ortega@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Andrea,Ortega,Business Analyst,shared,ES,Calle Gran Via 5,Madrid,España,28013,Madrid
Victor Reyes,victor.reyes@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Victor,Reyes,IT Specialist,it-sistemas,ES,Calle Gran Via 6,Madrid,España,28013,Madrid
Cristina Prieto,cristina.prieto@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Cristina,Prieto,Controller,finanzas,ES,Calle Gran Via 7,Madrid,España,28013,Madrid
Alvaro Flores,alvaro.flores@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Alvaro,Flores,Creative Designer,marketing,ES,Calle Gran Via 8,Madrid,España,28013,Madrid
Silvia Cruz,silvia.cruz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Silvia,Cruz,Talent Acquisition Specialist,recursos-humanos,ES,Calle Gran Via 9,Madrid,España,28013,Madrid
Guillermo Dominguez,guillermo.dominguez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Guillermo,Dominguez,Board Member,directivos,ES,Calle Gran Via 10,Madrid,España,28013,Madrid
Monica Marquez,monica.marquez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Monica,Marquez,Document Specialist,shared,ES,Calle Gran Via 11,Madrid,España,28013,Madrid
Ivan Cabrera,ivan.cabrera@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ivan,Cabrera,Developer,it-sistemas,ES,Calle Gran Via 12,Madrid,España,28013,Madrid
Noelia Vega,noelia.vega@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Noelia,Vega,Finance Manager,finanzas,ES,Calle Gran Via 13,Madrid,España,28013,Madrid
Samuel Garcia,samuel.garcia@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Samuel,Garcia,Growth Analyst,marketing,ES,Calle Gran Via 14,Madrid,España,28013,Madrid
Luciana Fernandez,luciana.fernandez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Luciana,Fernandez,HR Director,recursos-humanos,ES,Calle Gran Via 15,Madrid,España,28013,Madrid
Alejandro Rodriguez,alejandro.rodriguez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Alejandro,Rodriguez,CEO,directivos,ES,Calle Gran Via 16,Madrid,España,28013,Madrid
Lucia Martinez,lucia.martinez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Lucia,Martinez,Office Manager,shared,ES,Calle Gran Via 17,Madrid,España,28013,Madrid
Carlos Lopez,carlos.lopez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Carlos,Lopez,Network Engineer,it-sistemas,ES,Calle Gran Via 18,Madrid,España,28013,Madrid
Elena Sanchez,elena.sanchez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Elena,Sanchez,Accountant,finanzas,ES,Calle Gran Via 19,Madrid,España,28013,Madrid
David Perez,david.perez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,David,Perez,SEO Manager,marketing,ES,Calle Gran Via 20,Madrid,España,28013,Madrid
Sofia Gomez,sofia.gomez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sofia,Gomez,Payroll Specialist,recursos-humanos,ES,Calle Gran Via 21,Madrid,España,28013,Madrid
Javier Ruiz,javier.ruiz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Javier,Ruiz,Chief of Staff,directivos,ES,Calle Gran Via 22,Madrid,España,28013,Madrid
Marta Diaz,marta.diaz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Marta,Diaz,Executive Assistant,shared,ES,Calle Gran Via 23,Madrid,España,28013,Madrid
Pablo Torres,pablo.torres@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Pablo,Torres,Systems Architect,it-sistemas,ES,Calle Gran Via 24,Madrid,España,28013,Madrid
Laura Morales,laura.morales@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Laura,Morales,Compliance Officer,finanzas,ES,Calle Gran Via 25,Madrid,España,28013,Madrid
Diego Vazquez,diego.vazquez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Diego,Vazquez,Content Manager,marketing,ES,Calle Gran Via 1,Madrid,España,28013,Madrid
Carmen Castro,carmen.castro@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Carmen,Castro,Recruiter,recursos-humanos,ES,Calle Gran Via 2,Madrid,España,28013,Madrid
Sergio Romero,sergio.romero@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sergio,Romero,COO,directivos,ES,Calle Gran Via 3,Madrid,España,28013,Madrid
Paula Navarro,paula.navarro@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Paula,Navarro,Receptionist,shared,ES,Calle Gran Via 4,Madrid,España,28013,Madrid
Marcos Murillo,marcos.murillo@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Marcos,Murillo,SysAdmin,it-sistemas,ES,Calle Gran Via 5,Madrid,España,28013,Madrid
Raquel Mendez,raquel.mendez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Raquel,Mendez,Tax Specialist,finanzas,ES,Calle Gran Via 6,Madrid,España,28013,Madrid
Adrian Blanco,adrian.blanco@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Adrian,Blanco,Campaign Manager,marketing,ES,Calle Gran Via 7,Madrid,España,28013,Madrid
Beatriz Delgado,beatriz.delgado@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Beatriz,Delgado,Compensation Analyst,recursos-humanos,ES,Calle Gran Via 8,Madrid,España,28013,Madrid
Hugo Jimenez,hugo.jimenez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Hugo,Jimenez,VP Finance,directivos,ES,Calle Gran Via 9,Madrid,España,28013,Madrid
Sara Herrera,sara.herrera@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sara,Herrera,Business Analyst,shared,ES,Calle Gran Via 10,Madrid,España,28013,Madrid
Alberto Ortiz,alberto.ortiz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Alberto,Ortiz,IT Specialist,it-sistemas,DE,Unter den Linden 11,Berlin,Alemania,10117,Berlin
Natalia Molina,natalia.molina@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Natalia,Molina,Controller,finanzas,DE,Unter den Linden 12,Berlin,Alemania,10117,Berlin
Ruben Vidal,ruben.vidal@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ruben,Vidal,Creative Designer,marketing,DE,Unter den Linden 13,Berlin,Alemania,10117,Berlin
Patricia Santos,patricia.santos@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Patricia,Santos,Talent Acquisition Specialist,recursos-humanos,DE,Unter den Linden 14,Berlin,Alemania,10117,Berlin
Fernando Ramos,fernando.ramos@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Fernando,Ramos,Board Member,directivos,DE,Unter den Linden 15,Berlin,Alemania,10117,Berlin
Irene Gil,irene.gil@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Irene,Gil,Document Specialist,shared,DE,Unter den Linden 16,Berlin,Alemania,10117,Berlin
Oscar Leon,oscar.leon@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Oscar,Leon,Developer,it-sistemas,DE,Unter den Linden 17,Berlin,Alemania,10117,Berlin
Claudia Ortega,claudia.ortega@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Claudia,Ortega,Finance Manager,finanzas,DE,Unter den Linden 18,Berlin,Alemania,10117,Berlin
Daniel Reyes,daniel.reyes@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Daniel,Reyes,Growth Analyst,marketing,DE,Unter den Linden 19,Berlin,Alemania,10117,Berlin
Andrea Prieto,andrea.prieto@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Andrea,Prieto,HR Director,recursos-humanos,DE,Unter den Linden 20,Berlin,Alemania,10117,Berlin
Victor Flores,victor.flores@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Victor,Flores,CEO,directivos,DE,Unter den Linden 21,Berlin,Alemania,10117,Berlin
Cristina Cruz,cristina.cruz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Cristina,Cruz,Office Manager,shared,DE,Unter den Linden 22,Berlin,Alemania,10117,Berlin
Alvaro Dominguez,alvaro.dominguez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Alvaro,Dominguez,Network Engineer,it-sistemas,DE,Unter den Linden 23,Berlin,Alemania,10117,Berlin
Silvia Marquez,silvia.marquez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Silvia,Marquez,Accountant,finanzas,DE,Unter den Linden 24,Berlin,Alemania,10117,Berlin
Guillermo Cabrera,guillermo.cabrera@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Guillermo,Cabrera,SEO Manager,marketing,DE,Unter den Linden 25,Berlin,Alemania,10117,Berlin
Monica Vega,monica.vega@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Monica,Vega,Payroll Specialist,recursos-humanos,GB,Oxford Street 1,London,Reino Unido,W1D 1BS,London
Ivan Garcia,ivan.garcia@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ivan,Garcia,Chief of Staff,directivos,GB,Oxford Street 2,London,Reino Unido,W1D 1BS,London
Noelia Fernandez,noelia.fernandez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Noelia,Fernandez,Executive Assistant,shared,GB,Oxford Street 3,London,Reino Unido,W1D 1BS,London
Samuel Rodriguez,samuel.rodriguez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Samuel,Rodriguez,Systems Architect,it-sistemas,GB,Oxford Street 4,London,Reino Unido,W1D 1BS,London
Luciana Martinez,luciana.martinez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Luciana,Martinez,Compliance Officer,finanzas,GB,Oxford Street 5,London,Reino Unido,W1D 1BS,London
Alejandro Lopez,alejandro.lopez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Alejandro,Lopez,Content Manager,marketing,GB,Oxford Street 6,London,Reino Unido,W1D 1BS,London
Lucia Sanchez,lucia.sanchez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Lucia,Sanchez,Recruiter,recursos-humanos,GB,Oxford Street 7,London,Reino Unido,W1D 1BS,London
Carlos Perez,carlos.perez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Carlos,Perez,COO,directivos,GB,Oxford Street 8,London,Reino Unido,W1D 1BS,London
Elena Gomez,elena.gomez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Elena,Gomez,Receptionist,shared,GB,Oxford Street 9,London,Reino Unido,W1D 1BS,London
David Ruiz,david.ruiz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,David,Ruiz,SysAdmin,it-sistemas,GB,Oxford Street 10,London,Reino Unido,W1D 1BS,London
Sofia Diaz,sofia.diaz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sofia,Diaz,Tax Specialist,finanzas,GB,Oxford Street 11,London,Reino Unido,W1D 1BS,London
Javier Torres,javier.torres@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Javier,Torres,Campaign Manager,marketing,GB,Oxford Street 12,London,Reino Unido,W1D 1BS,London
Marta Morales,marta.morales@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Marta,Morales,Compensation Analyst,recursos-humanos,GB,Oxford Street 13,London,Reino Unido,W1D 1BS,London
Pablo Vazquez,pablo.vazquez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Pablo,Vazquez,VP Finance,directivos,GB,Oxford Street 14,London,Reino Unido,W1D 1BS,London
Laura Castro,laura.castro@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Laura,Castro,Business Analyst,shared,GB,Oxford Street 15,London,Reino Unido,W1D 1BS,London
Diego Romero,diego.romero@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Diego,Romero,IT Specialist,it-sistemas,IT,Via Monte Napoleone 16,Lombardia,Italia,20121,Milan
Carmen Navarro,carmen.navarro@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Carmen,Navarro,Controller,finanzas,IT,Via Monte Napoleone 17,Lombardia,Italia,20121,Milan
Sergio Murillo,sergio.murillo@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sergio,Murillo,Creative Designer,marketing,IT,Via Monte Napoleone 18,Lombardia,Italia,20121,Milan
Paula Mendez,paula.mendez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Paula,Mendez,Talent Acquisition Specialist,recursos-humanos,IT,Via Monte Napoleone 19,Lombardia,Italia,20121,Milan
Marcos Blanco,marcos.blanco@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Marcos,Blanco,Board Member,directivos,IT,Via Monte Napoleone 20,Lombardia,Italia,20121,Milan
Raquel Delgado,raquel.delgado@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Raquel,Delgado,Document Specialist,shared,IT,Via Monte Napoleone 21,Lombardia,Italia,20121,Milan
Adrian Jimenez,adrian.jimenez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Adrian,Jimenez,Developer,it-sistemas,IT,Via Monte Napoleone 22,Lombardia,Italia,20121,Milan
Beatriz Herrera,beatriz.herrera@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Beatriz,Herrera,Finance Manager,finanzas,IT,Via Monte Napoleone 23,Lombardia,Italia,20121,Milan
Hugo Ortiz,hugo.ortiz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Hugo,Ortiz,Growth Analyst,marketing,IT,Via Monte Napoleone 24,Lombardia,Italia,20121,Milan
Sara Molina,sara.molina@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sara,Molina,HR Director,recursos-humanos,IT,Via Monte Napoleone 25,Lombardia,Italia,20121,Milan
Alberto Vidal,alberto.vidal@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Alberto,Vidal,CEO,directivos,IT,Via Monte Napoleone 1,Lombardia,Italia,20121,Milan
Natalia Santos,natalia.santos@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Natalia,Santos,Office Manager,shared,IT,Via Monte Napoleone 2,Lombardia,Italia,20121,Milan
Ruben Ramos,ruben.ramos@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ruben,Ramos,Network Engineer,it-sistemas,IT,Via Monte Napoleone 3,Lombardia,Italia,20121,Milan
Patricia Gil,patricia.gil@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Patricia,Gil,Accountant,finanzas,IT,Via Monte Napoleone 4,Lombardia,Italia,20121,Milan
Fernando Leon,fernando.leon@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Fernando,Leon,SEO Manager,marketing,IT,Via Monte Napoleone 5,Lombardia,Italia,20121,Milan
Irene Ortega,irene.ortega@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Irene,Ortega,Payroll Specialist,recursos-humanos,PL,ul. Nowy Swiat 6,Mazovia,Polonia,00-001,Warsaw
Oscar Reyes,oscar.reyes@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Oscar,Reyes,Chief of Staff,directivos,PL,ul. Nowy Swiat 7,Mazovia,Polonia,00-001,Warsaw
Claudia Prieto,claudia.prieto@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Claudia,Prieto,Executive Assistant,shared,PL,ul. Nowy Swiat 8,Mazovia,Polonia,00-001,Warsaw
Daniel Flores,daniel.flores@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Daniel,Flores,Systems Architect,it-sistemas,PL,ul. Nowy Swiat 9,Mazovia,Polonia,00-001,Warsaw
Andrea Cruz,andrea.cruz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Andrea,Cruz,Compliance Officer,finanzas,PL,ul. Nowy Swiat 10,Mazovia,Polonia,00-001,Warsaw
Victor Dominguez,victor.dominguez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Victor,Dominguez,Content Manager,marketing,PL,ul. Nowy Swiat 11,Mazovia,Polonia,00-001,Warsaw
Cristina Marquez,cristina.marquez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Cristina,Marquez,Recruiter,recursos-humanos,PL,ul. Nowy Swiat 12,Mazovia,Polonia,00-001,Warsaw
Alvaro Cabrera,alvaro.cabrera@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Alvaro,Cabrera,COO,directivos,PL,ul. Nowy Swiat 13,Mazovia,Polonia,00-001,Warsaw
Silvia Vega,silvia.vega@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Silvia,Vega,Receptionist,shared,PL,ul. Nowy Swiat 14,Mazovia,Polonia,00-001,Warsaw
Guillermo Garcia,guillermo.garcia@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Guillermo,Garcia,SysAdmin,it-sistemas,PL,ul. Nowy Swiat 15,Mazovia,Polonia,00-001,Warsaw
Monica Fernandez,monica.fernandez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Monica,Fernandez,Tax Specialist,finanzas,PL,ul. Nowy Swiat 16,Mazovia,Polonia,00-001,Warsaw
Ivan Rodriguez,ivan.rodriguez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Ivan,Rodriguez,Campaign Manager,marketing,PL,ul. Nowy Swiat 17,Mazovia,Polonia,00-001,Warsaw
Noelia Martinez,noelia.martinez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Noelia,Martinez,Compensation Analyst,recursos-humanos,PL,ul. Nowy Swiat 18,Mazovia,Polonia,00-001,Warsaw
Samuel Lopez,samuel.lopez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Samuel,Lopez,VP Finance,directivos,PL,ul. Nowy Swiat 19,Mazovia,Polonia,00-001,Warsaw
Luciana Sanchez,luciana.sanchez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Luciana,Sanchez,Business Analyst,shared,PL,ul. Nowy Swiat 20,Mazovia,Polonia,00-001,Warsaw
Alejandro Perez,alejandro.perez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Alejandro,Perez,IT Specialist,it-sistemas,US,5th Avenue 21,New York,EEUU-Este,10001,New York
Lucia Gomez,lucia.gomez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Lucia,Gomez,Controller,finanzas,US,5th Avenue 22,New York,EEUU-Este,10001,New York
Carlos Ruiz,carlos.ruiz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Carlos,Ruiz,Creative Designer,marketing,US,5th Avenue 23,New York,EEUU-Este,10001,New York
Elena Diaz,elena.diaz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Elena,Diaz,Talent Acquisition Specialist,recursos-humanos,US,5th Avenue 24,New York,EEUU-Este,10001,New York
David Torres,david.torres@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,David,Torres,Board Member,directivos,US,5th Avenue 25,New York,EEUU-Este,10001,New York
Sofia Morales,sofia.morales@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sofia,Morales,Document Specialist,shared,US,5th Avenue 1,New York,EEUU-Este,10001,New York
Javier Vazquez,javier.vazquez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Javier,Vazquez,Developer,it-sistemas,US,5th Avenue 2,New York,EEUU-Este,10001,New York
Marta Castro,marta.castro@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Marta,Castro,Finance Manager,finanzas,US,5th Avenue 3,New York,EEUU-Este,10001,New York
Pablo Romero,pablo.romero@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Pablo,Romero,Growth Analyst,marketing,US,5th Avenue 4,New York,EEUU-Este,10001,New York
Laura Navarro,laura.navarro@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Laura,Navarro,HR Director,recursos-humanos,US,5th Avenue 5,New York,EEUU-Este,10001,New York
